city,med,n
EMEA London Olympia,4509.0,1463
Bilbao,4904.0,4471
Vienna - European Championship,5039.0,1021
Bologna,5045.0,2466
Marseille,5056.5,1948
Paris 1,5062.0,2938
Malaga,5070.0,6566
Vienna,5118.0,4312
Mechelen,5120.0,3915
Berlin,5138.0,11336
Rome,5144.0,2823
Geneva,5144.0,1885
Sydney,5147.0,5360
Barcelona,5151.0,7748
Copenhagen,5151.0,5227
Warsaw,5159.0,5739
Paris GP,5164.5,3424
Manchester,5168.0,9771
Bordeaux,5172.0,5342
Toulouse,5183.0,6278
Valencia,5192.0,2986
Köln,5201.0,1930
Nice,5204.0,4354
Sports Direct HYROX London,5204.5,3142
Helsinki,5211.0,1491
Frankfurt,5216.5,4594
Glasgow,5225.0,12783
Dublin,5231.0,7162
Madrid,5231.0,7986
London Excel,5231.0,5673
Stockholm,5235.5,5520
Katowice,5239.0,2183
Oslo,5239.5,1952
Melbourne,5245.0,9242
Turin,5249.0,3923
Brisbane,5250.0,4992
Gdansk,5254.0,1739
Lisboa,5267.0,1304
Gent,5268.0,2434
London,5272.0,14465
Cardiff,5278.0,4660
Heerenveen,5302.0,5294
Birmingham,5307.0,13279
Amsterdam,5312.0,10252
Stuttgart,5324.0,3966
Poznan,5325.5,2870
Perth,5327.5,2288
Lyon,5338.5,5896
Paris,5338.5,6626
Seoul,5340.0,1045
Rimini,5351.5,7320
München,5367.0,1479
London Olympia,5384.0,3675
Karlsruhe,5388.0,4433
Hannover,5391.0,1349
Hamburg,5394.5,8882
Maastricht,5397.0,4293
Riga,5403.5,1104
Rotterdam,5405.0,10299
Miami Beach,5407.0,1630
Cologne,5420.0,2392
Verona,5427.0,1217
Chicago Navy Pier,5428.0,1410
Utrecht,5450.0,2771
Milan,5484.0,2740
Essen,5506.0,1203
Boston,5509.5,2748
Phoenix,5517.0,2733
Las Vegas,5543.5,3566
Incheon,5552.0,2782
Chicago,5553.0,4206
Los Angeles,5559.0,1211
Washington DC,5565.0,1040
Dallas,5567.0,5769
Miami,5629.0,2861
Vancouver,5651.5,2152
Atlanta,5676.0,1447
Ottawa,5697.0,2808
Osaka,5707.0,2241
Toronto,5729.0,4498
Auckland,5750.0,2648
Hong Kong,5752.0,5019
Shanghai,5788.5,3624
New York,5794.0,12578
Acapulco,5836.0,1283
Cape Town,5860.0,2853
Anaheim,5892.5,4642
Houston,5897.5,3850
Beijing,5917.0,3144
Guadalajara,5920.0,2619
Taipei,5948.0,2053
Monterrey,5991.0,3039
Singapore Expo,6064.0,1739
Ciudad de Mexico,6133.0,1319
Singapore National Stadium,6142.5,1324
Bangkok,6153.0,5903
Cancun,6195.5,1670
Mexico City,6245.0,3779
Singapore,6323.5,6840
Jakarta,6344.5,1918
Puebla,6394.0,2250
Johannesburg,6703.5,1812
Mumbai,6848.0,1744
Bengaluru,7235.0,2415
