season,sex,p25,p50,p75,n
1,M,5073.0,5557.0,6212.0,1821
1,W,5227.0,5680.0,6335.0,855
2,M,5008.0,5547.0,6240.0,2373
2,W,5210.0,5735.0,6395.0,1341
4,W,5012.0,5551.0,6233.0,2402
4,M,4776.0,5269.0,5926.0,5042
5,M,4676.0,5217.0,5898.0,14411
5,W,4937.0,5456.0,6162.0,6434
6,M,4688.0,5241.0,5934.0,34653
6,W,4971.0,5505.0,6209.0,16096
7,M,4600.0,5158.0,5866.0,73149
7,W,5037.0,5592.0,6331.0,36268
8,M,4663.0,5269.0,6079.0,155345
8,W,5161.0,5780.0,6623.0,89445
9,W,5275.0,6035.0,7064.0,1237
9,M,4930.0,5802.0,6882.0,2088
