sex,station,p5,p10,p25,p50,p75,p90,p95
M,1km SkiErg,4:03,4:08,4:18,4:31,4:47,5:05,5:17
M,50m Sled Push,2:01,2:12,2:32,3:00,3:36,4:24,5:03
M,50m Sled Pull,3:22,3:39,4:10,4:56,5:57,7:12,8:10
M,80m Burpee Broad Jump,3:25,3:47,4:30,5:31,6:51,8:27,9:42
M,1km Row,4:19,4:24,4:36,4:52,5:12,5:36,5:53
M,200m Farmers Carry,1:32,1:39,1:52,2:10,2:36,3:09,3:34
M,100m Sandbag Lunges,3:32,3:50,4:25,5:15,6:22,7:51,9:04
M,Wall Balls,4:22,4:46,5:35,6:50,8:41,11:09,13:09
W,1km SkiErg,4:39,4:45,4:58,5:14,5:34,5:56,6:12
W,50m Sled Push,1:57,2:07,2:26,2:51,3:22,4:02,4:33
W,50m Sled Pull,4:02,4:20,4:55,5:46,6:56,8:22,9:28
W,80m Burpee Broad Jump,4:12,4:37,5:26,6:37,8:14,10:18,11:56
W,1km Row,4:51,4:58,5:11,5:29,5:51,6:18,6:37
W,200m Farmers Carry,1:43,1:49,2:01,2:17,2:42,3:15,3:40
W,100m Sandbag Lunges,3:30,3:47,4:20,5:07,6:11,7:37,8:47
W,Wall Balls,3:38,4:06,5:01,6:15,8:01,10:22,12:21
