name,nationality,season,year,city,division_canonical,finish_seconds,finish
"Putters, Lena",BEL,8,2025,Maastricht,OPEN,3413.0,56:53
"Millard, Saskia",ENG,8,2026,Stockholm,PRO,3435.0,57:15
"Procter, Lucy",GBR,7,2025,Glasgow,OPEN,3455.0,57:35
"Parvizi Wayne, Sophia",GBR,7,2025,Vienna,OPEN,3456.0,57:36
"Eybergen, Madelyn",CAN,8,2026,Stockholm,PRO,3457.0,57:37
"Emilsson, Annie",SWE,8,2026,Warsaw,PRO,3458.0,57:38
"Jacoby, Megan",USA,8,2025,Stuttgart,PRO,3489.0,58:09
"Weeks, Lauren",USA,8,2025,Chicago,PRO,3492.0,58:12
"Schürer, Alice",AUT,7,2025,Vienna,OPEN,3500.0,58:20
"Arning, Seka",GER,8,2026,Helsinki,PRO,3506.0,58:26
"McElheny, Alyssa",USA,8,2026,Toulouse,PRO,3506.0,58:26
"Fahsbender, Katherine",USA,7,2025,Miami Beach,OPEN,3510.0,58:30
"Stroschneider, Tanja",AUT,7,2025,Vienna,OPEN,3511.0,58:31
"Bent, Sinead",GBR,7,2024,London,OPEN,3527.0,58:47
"Corbetta, Gloria",ITA,7,2025,Vienna,OPEN,3527.0,58:47
"Dr. Schürer, Alice",AUT,8,2026,EMEA London Olympia,OPEN,3528.0,58:48
"Speer, Isabell",AUT,7,2025,Vienna,OPEN,3530.0,58:50
"Wade, Rachael",USA,8,2026,Stockholm,PRO,3533.0,58:53
"Davis, Lucy",GBR,7,2024,Manchester,OPEN,3543.0,59:03
"Pommerening, Lea Sophie",GER,8,2026,Stockholm,PRO,3544.0,59:04
"Charpentier, Anne Caroline",FRA,8,2026,EMEA London Olympia,OPEN,3547.0,59:07
"Manna, Cassidy",USA,8,2026,Washington DC,OPEN,3551.0,59:11
"Sheridan, Calypso",AUS,9,2026,Jakarta,PRO,3557.0,59:17
"Chumley, Maleah",USA,8,2026,Washington DC,OPEN,3565.0,59:25
"Stockley, Lauren",WLS,8,2026,Helsinki,PRO,3566.0,59:26
