season,division_canonical,sex,median_winning_time,events
1,PRO,W,4712.0,9
1,PRO,M,3810.0,9
1,OPEN,W,4215.0,9
1,OPEN,M,3964.0,9
2,PRO,M,3627.0,11
2,OPEN,W,4067.0,11
2,OPEN,M,3923.0,11
2,PRO,W,4090.0,11
4,OPEN,M,3790.0,23
4,PRO,W,4113.0,25
4,OPEN,W,4136.0,23
4,PRO,M,3597.0,25
5,PRO,M,3546.5,34
5,OPEN,M,3567.0,37
5,PRO,W,3974.0,35
5,OPEN,W,4068.0,37
6,OPEN,M,3531.0,53
6,OPEN,W,3922.0,53
6,PRO,M,3558.0,51
6,PRO,W,4006.0,51
7,OPEN,M,3492.0,87
7,PRO,M,3501.5,76
7,PRO,W,3907.0,77
7,OPEN,W,3932.0,83
8,PRO,W,3778.5,122
8,OPEN,M,3487.5,200
8,OPEN,W,3981.0,198
8,PRO,M,3411.0,124
