name,nationality,races,first_season,last_season,pb
"Nordmeier, Jens",GER,41,1,8,1:09:29
"Müller, Philipp",GER,36,1,8,1:01:25
"Smith, Ben",GBR,36,5,9,59:45
"Parkin, David",GBR,35,5,8,54:28
"Barreto, Nuno",GBR,34,4,8,1:01:54
"Smith, Michael",USA,34,4,8,1:04:46
"Jones, Chris",GBR,34,5,8,1:03:54
"Bahadorvand, Hamun",GER,34,4,8,1:05:56
"Massouf, Fred",FRA,34,4,8,1:13:14
"Smith, Kate",GBR,32,5,8,1:04:42
"Jafar, Mohammad",KUW,32,5,9,1:04:34
"Ifversen, Sebastian",DEN,32,4,8,54:44
"Wilson, James",USA,32,5,8,1:04:21
"Petrovic, Alexander",GER,31,4,8,1:10:25
"Moumen, Jaafar",MAR,30,1,8,57:50
"Harold, Stephen",IRL,30,5,8,58:35
"Jones, Ben",GBR,30,5,8,1:02:15
"Bianchi, Eugenio",ITA,30,5,8,53:54
"Holden, Sarah",GBR,29,4,8,1:11:11
"Massa, Camilla",USA,29,3,8,1:01:16
"Taylor, James",GBR,29,5,8,57:34
"Smith, Kevin",GBR,29,4,8,1:17:01
"Naether, Rebecca",GER,29,1,8,1:00:45
"Pranjic, Ivan",CRO,29,1,8,59:24
"Thewes, Kevin",GER,29,1,8,1:03:59
"Schwarzkopf, Dieter",GER,29,1,8,53:43
"Tessarin, Andrea Riccardo",GBR,29,5,8,1:10:51
"Woodward, Erik",NOR,28,4,8,55:34
"Botterill, Charlie",GBR,28,5,8,51:17
"Bousquieres, Vincent",FRA,28,4,8,1:02:03
