nationality,sex,med,n
POR,M,4893.5,2022
ESP,M,4914.0,10093
IRL,M,4959.0,10616
FRA,M,4994.0,29728
BEL,M,5033.5,3324
GBR,M,5044.0,56058
SUI,M,5055.0,2254
AUS,M,5112.0,11685
SWE,M,5130.0,2514
NZL,M,5151.0,2147
AUT,M,5187.0,2817
ITA,M,5192.0,11456
POL,M,5210.0,5774
NED,M,5211.0,20974
KOR,M,5213.5,2078
GER,M,5216.0,26148
USA,M,5513.0,27765
CAN,M,5514.0,5642
RSA,M,5695.0,3067
HKG,M,5765.0,2299
CHN,M,5897.0,4305
MEX,M,5953.0,10480
SIN,M,6328.0,4983
IND,M,6848.0,4523
ESP,W,5375.0,3413
IRL,W,5459.0,4479
AUS,W,5480.0,7159
GER,W,5490.0,13530
GBR,W,5516.0,30035
ITA,W,5569.0,4749
FRA,W,5596.0,12389
POL,W,5608.5,3000
NED,W,5664.0,10576
CAN,W,5816.5,4132
USA,W,5886.0,21047
CHN,W,6060.0,2491
MEX,W,6313.0,5494
SIN,W,6350.0,2070
RSA,W,6442.0,2699
